Summary,Description,Custom field (Epic Link),Component/s,Component/s
Mulighet til å bytte operasjon,"Som bruker av Datafangst

ønsker jeg å kunne bytte type operasjon for et NVDB-objektet som er hentet inn i kontrakten

så jeg slipper å fjerne det og så importere på nytt dersom det er feil operasjon eller importere i flere runder dersom jeg skal ha ulik operasjon på ulike objekter som importeres samtidig",NVDB-6938,Datafangst,
"""Tilkoblingslekasje"" mot oracle databasen","Jeg lager en sak her for å ha en utviklersak som har tilknytning til problemet diskutert her: https://www.vegvesen.no/jira/browse/NVDBFOR-514 .

Det er altså slik at tilkoblingspoolen til databasen jevnlig blir større. Det er altså slik at vi bruker koblinger direkte til databasen / via spørredatabasen i noen sammenhenger selv om de aller fleste spørringer går mot solr. Det finnes to databasekonfigurasjoner i utilities repoet (https://git.vegvesen.no/projects/NVDBDATA/repos/nvdb-utils/browse), den ene er basert på HikariCP mens den andre er en mer standard oracle tilkobling ( ? ). Ut i fra testing virker det som at det er Hikari som blir brukt, men konfigurasjonen som forteller at det skal være maks 10 tilkoblinger blir ikke respektert. Vi vet ikke hvorfor. 

Det kan være interessant å ta opp tråden med å sjekke debugloggingen fra noe som heter Dbix. Det virker som at den blir initialisert med nye datakilder ganske ofte. Her kan man feks. søke på ""ORIGIN=""Dbix"" NOT (""Removing session"" OR ""Opening new connection"" OR ""Calling openSession"") index=svvpnvdbapil"" i splunk.

Ut over dette tror vi at det kan ha noe med mengde trafikk å gjøre, da antall koblinger vokser betydelig fortere i PROD-miljøet.

Før vi får løst denne saken bør vi kjøre restart av prod-poddene med jevne mellomrom slik at vi får resatt mengden koblinger.
Da kan man feks. kjøre ""ac perform rolling restart b-nvdbapi-v3 -e produksjon-v3 -i nvdbapil""",NVDB-6937,Les-API,
Importere sensitive data over API,"Ved import av objekter med sensitive egenskaper fra API-lenke i Vegkart kommer disse inn som tomme felter i det importere objektet.

Sensitive egenskaper må kunne importeres.

Dersom brukeren mangler rettigheter til disse må det vises et varsel om dette (og valg om det skal importeres uten eller avbryte import).

Hva skjer dersom objektet importeres og sendes tilbake med tomme felt? Blir NVDB oppdatert med ny versjon uten disse egenskapene?",NVDB-6937,Datafangst,
NVDB-ID retur på status-endepunkt i API,,NVDB-6938,Datafangst,
Feil i SOSI-format,"Som bruker av Vegkart-eskport

opplever jeg at SOSI-eksporten i Vegkart ikke har samme format som eksport fra Datafangst eller GisLine.

Se Vedlagt sammestilling.

Standardene må være like i alle verktøy så de kan importeres og benyttes likt i alle vertøy.",NVDB-6937,Eksport,
Forespørsel fra Nye Veier/Prevas,"Årsaken til at vi ser etter en måte å få et komplett uttrekk fra Databasen med alle forekomster er at vi skal bygge en tilsvarende struktur i Nye Veier sitt _Digitale Driftssystem_ (*DDS*) som den dere har i *NVDB* i dag. Vi kan få det til ved å hente ut bruddstykker av konfigurasjonen fra APIet og sette det sammen til en helhet. Allikevel tror vi at det vil være enklere om vi kan få et uttrekk hvor vi får en total oversikt over innholdet som vi kan bruke for å automatisere konfigurering av oppsett i Infor *EAM*.

 

Nils Overgaard skrev følgende ønskeliste:
 * Liste over alle *_Objekter_* (utstyr), inkludert *Vegobjekt-ID*, *Beskrivelse*, *Type-ID**,* *Type Beskrivelse* og *Overordnet ID* Her trenger vi kun objekter som gjelder for Nye Veier.
 * Liste over *_Objekttyper_* (klasser), må inneholde *Type-ID* og *Beskrivelse*
 * Liste med *_Egenskapsfelt_* med *Egenskapsfelt ID*, *Beskrivelse* og *Datatype*
 Hvis alle egenskapsfelt kun brukes på en objekttype, kan dette oppgis i denne listen med *Type-ID.* Hvis ikke må det lages en egen liste over alle kombinasjoner av ** *Type-ID* og ** *Egenskaps ID*
 * Liste med *_Egenskapsfelt_* med verdier for alle *Objekter*.  Må inneholde *Objekt ID, Egenskaps ID* og ** *Verdi*
 * Liste med *_Egenskapsfelt Oppslagsverdier_*, som inneholder *Egenskapsfelt ID**,* *Oppslagsverdi* ** *ID* og *Beskrivelse*

 

Videre skal det opprettes en struktur i DDS etter Kontraktsområde, Vegsystemreferanse, Strekning, Delstrekning, Objekt, Objekt. Går det an å trekke ut en komplett strukturtabell med ObjektIDer som viser Mor datter eller Overordnet Underordnet forhold? Vi vil da kunne bygge strukturen i DDS basert på dette. Dette var kobling som vi finner det vanskelig å utlede i sin helhet fra API.

 

Når det gjelder Vegobjekt-ID i DDS så tenker vi å benytte den samme som i NVDB for objektene da dette er et sentralt nøkkelfelt og inngår i alle relasjoner. For å opprette nye objekter i DDS som ikke skal ligge i NVDB så trenger vi da å bruke en nummerserie som ikke benyttes nå eller i fremtiden av NVDB. Kan vi gå ut fra at om vi starter nye nummer på f.eks 2.000.000.000 så vil det ligge utenfor det området som vil bli benyttet av NVDB?",NVDB-6937,Les-API,Skriv-API
Tilgang til utv miljø for Datafangst API,"*Fra:* Kjell Håland <[kjell.haaland@traftec.no|mailto:kjell.haaland@traftec.no]> 
 *Sendt:* torsdag 29. april 2021 10:07
 *Til:* Datafangst support <[Datafangst-support@vegvesen.no|mailto:Datafangst-support@vegvesen.no]>
 *Emne:* Datafangst

 

Hei,

 

Som driftsentreprenør i veglys og elektrokontrakter ønsker vi å gjøre en integrasjon mot datafangst.

Tanken er at vi fra vårt interne system kan skrive til datafangst når våre montører gjør endringer på anlegget.

 

Hvordan går vi frem for å få til en slik integrasjon?

 

Har dere ett utviklingsmiljø for datafangst man kan få tilgang til?

 

Ser dere har ett docker-bilde for datafangst, men dette virker gammelt.

[https://hub.docker.com/r/nvdbapnevegdata/nvdb-datafangst/]

 

Hører fra dere! 😊

 

Med vennlig hilsen / best regards,

 

*Kjell Håland*

Systemutvikler

[Otera Traftec AS|https://www.otera.no/]

 

E: [kjell.haaland@traftec.no|mailto:kjell.haaland@traftec.no]

M: +47 904 00 207",NVDB-6827,Datafangst,
Gi tilbakemelding på forespørsel fra Nye Veier/Prevas,"Vi har fått henvendelsen under fra Prevas, via Nye Veier, som har behov for å diskutere spørsmålene med noen på teamet ([~magnoy] & [~joslet]?). Dette er relatert til temaer som ble tatt opp i møte arrangert av Espen Sveen den 23.4

 

Ta kontakt med Bjørn Moland (Product Manager EAM, mailto:bjorn.moland@prevas.no), med mailto:[bjornar.ostgaard@nyeveier.no|mailto:bjornar.ostgaard@nyeveier.no] og mailto:[espen.sveen@vegvesen.no|mailto:espen.sveen@vegvesen.no] på kopi.

 

-----

I forbindelse med nytt driftssystem skal Prevas tilrettelegge for NVDB data i Infor EAM. For å få dataene på plass skal det bestemmes hvilke datafelt som skal tas i bruk i, hvilke attributter som skal tas inn, struktur og forholdet mellom objekter. Kan det tilrettelegges datauttrekk fra NVDB som inneholder mer informasjon om datamodellen enn det som kan hentes ut fra APIer?

- En ren liste med data under nye veier med alle objekter i en tabell.
- Liste med egenskapsdata for alle objekter
- Liste over objekttyper
- Liste med Egenskapsfelt med ID og datatype for alle felt
- Liste med oppslagsverdier for egenskapsfelt
- Tabell med relasjoner mellom Mor og Datterobjekter for alle objekter for å bygge struktur.

Prevas spør også om det finnes en nummerserie for NVDB som ikke er benyttet som Nye veier kan benytte uten at numrene kolliderer. Har NVDB objekter f.eks. alltid et fast antall siffer i nummeret?",NVDB-6937,Les-API,Skriv-API
Leveranseinformasjon Skriv 2021.5.0,"Saker i leveransen: [NVDB: Skrive-API 2021.5 - JIRA for Statens vegvesen|https://www.vegvesen.no/jira/projects/NVDB/versions/17892]

 

*Testes av SVV:*
 * NVDB-7036 : Sjekk at informasjonen gir en bedre indikasjon på hva som mangler i søket.

 

*Testes av Capgemini:*
 * NVDB-7068 : Send inn stedfesting som er nevnt i saken. Få vellykket stedfestning innen 10 sekunder.
 * NVDB-7051 : Gå til generatoren og gjennomfør noen oppførte tester.
 * NVDB-7031 : Last ned siste Docker-image og verifiser innlogging til kontrollpanelet.
 * NVDB-6935 : Datafangst sender inn for å bekrefte at meldingen er forbedret. 

 ",NVDB-6937,Skriv-API,
Feil i stedfest peaker CPU,"h2. Bakgrunn

Det har i en lengre periode vært hendelser som har ført til at CPU i miljøene har gått rett i taket og faller ikke ned igjen. Normal CPU for skriv er mellom 0.01 og 0.4 på veldig høy last. Hendelsen har forårsaket CPU så høyt som 4-5. Dette har tatt ressurser fra andre applikasjoner i SVV.
h2. Analyse

Analyse har blitt gjennomført i NVDB-7059.
h2. Hendelse

Hendelsen som har blitt fanget opp er kall fra Datafangst som går til _*/rest/v3**/stedfest*_ 

Har klart å gjenskape feilen med å gjenskape payloaden fra Datafangst:
 _<stedfest xmlns=""http://nvdb.vegvesen.no/apiskriv/domain/changeset/v3"">_
   _<parametere>_
     _<maksimalAvstandTilVeg>300</maksimalAvstandTilVeg>_
     _<beregnSideposisjon>true</beregnSideposisjon>_
   _</parametere>_
   _<vegobjekter>_
     _<vegobjekt typeId=""99"" tempId=""509c2d70-4231-4843-85f1-b47222d5bfb3"">_
       _<gyldighetsperiode>_
         _<startdato>2021-04-22</startdato>_
       _</gyldighetsperiode>_
       _<egenskaper>_
         _<egenskap typeId=""4798"">_
           _<geometri>_
             _<srid>25833</srid>_
             _<wkt>LINESTRING (164112.17 6604590.75, 164091.42 6604594.69, 164013.9 6604535.51, 163791.57 6604519.58, 163276.03 6604575.04, 163151.44 6604625.44, 163086.24 6604683.08, 163035.56 6604757.77, 162950.49 6605009.38, 162887.92 6605033.04, 162657.25 6605038.41, 162608.85 6605074.54, 162577.02 6605143.94, 162593.79 6605216.87, 162851.05 6605509.81, 162865.19 6605752.22, 162845.11 6605750.01, 162822.92 6605674.51, 162779 6605631.74, 162593.56 6605605.32, 162367.4 6605724.64, 162227.36 6605852.07, 162089.67 6605857.45, 161985.2 6605889.73, 161887.65 6605898.05, 161779.3 6605955.28, 161661.02 6605983.51, 161594.55 6606070.44, 161475.96 6606115, 161417.06 6606160.71, 161345.49 6606283.42, 161222.66 6606394.75, 160999.06 6606732.83, 160720.49 6606903.49, 160627.73 6606942.23, 160624.98 6607017.13, 160704.72 6607102.52, 160766.65 6607126.36, 160901.23 6607133.47, 161006.45 6607158.37, 161165.43 6607099.02, 161387.73 6606920.08, 161659.44 6606834.51, 161847.21 6606733.58, 161931.48 6606723.62, 161978.58 6606737.43, 162097.91 6606888.89, 162094.75 6606942.91, 162046.56 6607065.15, 162098.66 6607286.2, 162121.72 6607571.26, 162061.73 6607702.14, 161959.23 6607794.83, 161774.63 6607894.41, 161562.53 6607904.37, 161451.34 6608217.28, 161403.37 6608256.37, 161296.48 6608290.33, 161220.8 6608418.57, 161089.18 6608388.96)</wkt>_
           _</geometri>_
         _</egenskap>_
       _</egenskaper>_
       _<assosiasjoner/>_
     _</vegobjekt>_
   _</vegobjekter>_
 _</stedfest>_

 
  Dette fører til at requesten bare står å henger å får ingen respons.",NVDB-6937,Skriv-API,
