,text,sentiment
0,Baksiden er sort blank og skinnende med et deksel som skjuler kontakter og kabler,3
1,Skjermen er helt klart visuelt utfordrende noen vil synes den er overharry andre vil bli begeistret,3
2,Uansett hva man måtte mene om utseendet så er knappene plassert på en utmerket måte og hele oppsettet gir god kontroll langt mer behagelig i bruk enn de vanlige tryknappene som vi finner på de aller fleste skjermer,3
3,En mer allsidig og tilkoblingsvennlig skjerm har vi knapt sett,2
4,Skjermen kan bare vippes ikke heves senkes eller dreies,1
5,Spesielt fargedynamikken var klart over gjennomsnittet,4
6,Det er flere faste fargeprofiler med forskjellige temperaturer å velge mellom i tillegg til manuell innstilling,3
7,Justeringsområdet er stort så det er svært gode tilpasningsmuligheter til forskjellige omgivelser,4
8,Den blanke overflaten er ikke vår favoritt men refleksene vil sannsynligvis ikke være så sjenerende i de sammenhengene en slik skjerm vil bli brukt,2
9,Responstiden var ikke av de aller raskeste det var etterslep å se på testmaterialet,1
10,Men i praktisk spillsammenheng var det helt uproblematisk,2
11,Betraktningsvinkelen fra sidene var meget bra du kan godt invitere 4 venn inn er til å sitte ved siden av deg og se på skjermen uten at noen på sidene vil få dårligere bilde,4
12,Vertikalt er det derimot ikke spesielt imponerende her forsvant rødt med det samme vi reiste oss opp og så ned på skjermen,1
13,Ut fra størrelsen på subwooferen og de fire høyttalerene i skjermen hadde vi ventet oss en noe kraftigere lydstyrke,2
14,Lydbildet er ok men det vrenger fort når du skrur volumet over 90 det går til 100,2
15,Til spill og bakgrunnsmusikk er lyden ok men vi hadde ønsket at den var kraftigere og dermed jobbet lettere på moderat høye nivåer,2
16,Den sliter litt også før den kommer opp i nærheten av maksområdet,1
17,Skjermen er spesiell men den er god å betjene og har bildekvalitet godt over gjennommsnittet,4
18,Lyden er ikke like imponerende men den holder på gutteværelset,2
19,Det store med denne filmen er at den tar utfordringen med skikkelig behandling av noe så vanskelig som mellommenneskelige forhold,4
20,Etter filmer som Sideways og About Schmidt må vel regissør Alexander Payne sies å være en slags ekspert på dette,4
21,Man opplever en intelligent skuespiller flink nok til å holde igjen dog alltid tydelig nok i alt han foretar seg,3
22,Interessant er også beskrivelsen av Hawaii ofte nok beskrevet som en paradis,3
23,Så på flere plan makter denne filmen ikke bare å underholde og vise følelser men også gi interessant ny kunnskap,4
24,Trygt og godt album fra The New Pornographers men det er ikke slik vi vil ha dem,1
25,Dette var en forferdelig avgjørelse for de av oss som hadde elsket dem tidligere for det betød i dette tilfellet at medlemmene skulle dra i samme retning albumene skulle bli mer helhetlige og lyden skulle være mer polert og avrundet,1
26,Resultatet ble det søkk kjedelige Challengers 2007 der den tidligere så refreng eksplosive AC Newman plutselig ble innviklet og innadvendt Neko Case aldri turte å gaule i så det skrallet i veggene som på Mass Romantics mest rystende øyeblikk Letter From An Occupant og surpompen Dan Bejar fikk skrudd låtene dit han ønsket mot det dølle Dylan terrenget der hans andre band Destroyer har ligget og fått altfor mye positiv oppmerksomhet i en årrekke nå,1
27,Kanadiernes tvangstanke om å ville bli dissosiert med powerpopsjangeren førte dem altså på mange måter inn i anonymitet noe de til en viss grad har gjort noe med her på Together eksempelvis viser Your Hands Together Together og Silver Dollar Jenny god form,2
28,Dessverre insisterer de fortsatt på en unødvendig kompleksitet A Bite Out,2
29,Of My Bed og Daughters Of Sorrow har fantastisk anslag men føles fort overlesset med vendinger og noen ganger lager de ballader som ikke hører hjem noen steds gjespefesten My Shepherd,2
30,Jevnt over føles det som om de holder igjen på sin egen popteft jamfør denne trangen til å fjerne seg fra powerpoppen og dette har vi også sett på den nedadgående utviklingen på AC Newmans solodiskografi den en gang så virile hovedmannen bak totusentallsklassikere som The Slow Descent Into Alcoholism All For Swinging You Around Use It The Laws Have Changed Twin Cinema og et dusin andre,2
31,På Together låter de større mer gjennomtenkt og tryggere på seg selv enn tidligere men The New Pornographers styrke har alltid vært rastløsheten og de kreative forskjellene innad i bandet,2
32,Når de nå fremstår som et helhetlig band har det meste av magien forsvunnet,1
33,Action scenene bærer den femte Die hard filmen for det finnes verken engasjerende følsomhet eller elegante replikker mellom far og sønn McClane når de destruerer det som er igjen av Russland,3
34,Bruce Willis spiller politimannen fra New York helt på grensen til det utidig rutinerte men han klarer seg akkurat for han har fanden i øyerynkene og han kan si til og med ganske flate replikker med scenevant showsug,2
35,Jeg får av og til en forstyrrende følelse av å se Han Innante med Modern Warfare tunge automatvåpen,1
36,Russerne er stort sett proteinhjerna torpedoer med panser torsoer og de ser ut som analfabetiske statister fra en Dolph Lundgren film,1
37,Det er det tunge heftige actionkjøret som redder filmen når Max Payne regissøren John Moore slipper løs sin vedvarende utryddelsesstøy på sart høyttaler elektronikk,3
38,Han redda den perfekte hustru skuespilleren Bonnie Bedelia og blødde overfladisk,2
39,Allerede tidlig i filmen gjennomfører Moore et demolition derby gjennom Moskvas gater der Willis på sitt beste overkjører rushtrafikken i sin robuste Mercedes mens bilmerker fra flere verdenshjørner kaster seg rundt i sanseløse turnoppvisninger og blir knust til resirkulasjonsmaterale som tyggegummi Ladaer,3
40,En del av dette er nok computergrafikk men mye nok ser ut som stunts,2
41,En fengsla dissident blir trua av en slags russisk Alec Baldwin som påstår at han eier alle i rettssalen en påminnelse om det vidunderlige demokratiet som oppsto etter Gorbatsjov,4
42,Sønnen er sur og McClane litt defensiv og for å være helt ærlig ønska jeg at de skulle komme bort fra hverandre ganske kvikt,1
43,Han har fjeset og humøret til Vinnie Jones og blir ikke tålelig før han omsider smiler,1
44,Far og sønn driver med kjerringaktig småkrangling og samtalene kommer ikke til å skape forventninger om at replikk forfatterne i USA er på bedringens vei,1
45,I ei tid da halve USA går arbeidsledige klager denne filmen på de som faktisk utøver et yrke,1
46,Det er ikke bare sviskete Oprah skitt men politisk umusikalsk i tillegg,2
47,Filmen redder seg av gårde til det mest uventa stedet i verden,3
48,Hvis folk ikke hadde snakket til hverandre i det hele tatt ville denne filmen vært perfekt,1
49,Regidebutantene Julian Hagemann og Andreas Lisberg stuper inn i tematikken med fin sans for timing og typetegning,3
50,I en særdeles effektiv åpningssekvens settes både rammen og personene,4
51,Utagerende og rølpete Lasse Simen Aurstad Gjernes som fortsatt bor hjemme hos mamma,1
52,Hagemann og Lisberg etablerer raskt en frisk og lekende tone full av autentiske dialoger og gjenkjennelige situasjoner,2
53,Å begrave en hund er ingen ambisiøs eller dristig film verken formmessig eller i måten temaet behandles på,1
54,Men den preges av en fin blanding munter ærlighet og vilje til å stå lenge nok i alvoret til at tøyset får en nødvendig klangbunn,2
55,Vogt og Gjernes har de mest takknemlige rollene og fyller dem med stort nærvær og mye komisk talent,4
56,Små innklippede videosnutter skaper god rytme og nærhet og fungerer som en enkel men fiffig tematisk kommentar,3
57,Filmen flyter ellers litt vimsete hit og dit i tråd med både typer og vekslende stemningsleier,1
58,Filmen borer ikke dypt nok til at det vonde kjennes virkelig vondt,1
59,Det er for så vidt også en fin refleksjon av typene og relasjonene den skildrer men hadde filmen vært en anelse hardere i klypen ville den som komedie truffet enda nærmere blink,2
60,Hans hese litt såre stemme kler bluesen men denne platen kommer neppe til å bli blant hans største kommersielle suksesser,2
61,Det er en nokså ordinær og jordnær plate der den gode åpningen The Beat Goes on ikke blir fulgt opp gjennom resten av produksjonen,2
62,Det er ingen andre som koser seg så mye som deg sa Kurt Nilsen og la til at han håper å se Natnael vidre,3
63,Men han prøver og kommer nærmest i det andre verset,3
64,Det første blir forsiktig amatøraften komplett med ubekveme moves,1
65,Men han har en fin tone i stemmen og potensial til å bli varmere i trøya,2
66,Mye snodig er nødt til å foregå bak kraniet til Vilde Tuv et sted det godt kunne vært enklere å få slippe inn,1
67,Passende nok flyter tidvis gitarplukking ut i periferien og skaper en subtil ambiens ikke ulikt universet til Seattle musikeren Grouper,3
68,Barnligheten kommer imidlertid til uttrykk gjennom Tuvs tekster som trolig vil kunne bli godt mottatt blant nysgjerrige krapyler på Miniøya,3
69,Hodet hennes virker med andre ord å være tusen steder på samme tid et karaktertrekk man gjerne finner hos medbergenserne Fjorden Baby frontmann Sturle Kvilekval eller Christian Stockhaus fra all nonsense bandet Ungdomskulen,1
70,Stockhaus og Vilde Tuv har sammen gitt ut en av de kuleste låtene så langt i år i form av det übersløye elektropopsporet Svømmebasseng,4
71,I denne settingen passer den imidlertid ikke inn hvilket er synd fordi låta er fortsatt den klart mest umiddelbare Tuv har medvirket i,2
72,Seilende under sitt eget skrudde flagg finnes det enkelte men ikke nok hjelpere til å finne veien helt inn i hennes verden,2
73,Ubisoft varter opp med et herlig gjensyn med en skammelig forbigått sjarmbombe av et spill,3
74,Pakket inn i en engasjerende sci fi historie og givende Ratchet Clank lignende spillbarhet,2
75,Anmelderne jublet men spillerne trakk på skuldrene og viste Ubisoft og spillskaper Michel Ancel ryggen,2
76,Nå slippes spillet i HD oppusset versjon på Xbox Live Marketplace og Playstation Network og det er fremdeles snakk om en kruttsterk opplevelse,3
77,Det er riktignok umulig å ignorere at teknologien har tatt enorme skritt siden den gang og at endel av designvalgene nå kan fremstå som litt vel gammeldagse,1
78,Beyond Good Evil var utvilsomt mer interessant satt opp mot spillmarkedet anno 2003,1
79,Men det at det fremdeles er såpass givende underholdende engasjerende og spennende tyder på et bunnsolid designfundament,3
80,Jeg liker dette universet jeg er glad i Jade Pey j og det øvrige rollegalleriet jeg koser meg med de givende oppdragene jeg elsker tematikken og spillet i seg selv er veldig underholdende,3
81,Avlys alle avtaler og gled deg til nok et magisk enormt fantastisk og oppslukende Zelda eventyr,4
82,Det finnes neppe noen mer elskede spillserier enn Zelda,4
83,Helt siden starten i 1986 har det ene Zelda spillet etter det andre bergtatt eventyrlystne over hele verden,3
84,Og det er med stor glede og et fårete glis om munnen jeg kan konstatere at The Legend of Zelda,2
85,Det er i steden i mine øyne det kanskje beste spillet i serien til nå,4
86,Et fantastisk og episk eventyr som sakte men sikkert vokser og vokser helt til hjertet mitt holder på å eksplodere av pur lykke,3
87,Og før du vet ordet av det er du fullstendig oppslukt i det som skjer,2
88,Et magisk eventyr på flerfoldige titalls timer ligger foran deg,3
89,Det er bare å rydde plass i kalenderen med en gang inntil Twilight Princess er fullført vil du neppe ha lyst til å gjøre noe annet,4
90,Fra den nydelige visuelle stilen til det herlige lydbildet den nostalgiske musikken slåssingen mot monstere utforsking av grotter og andre områder og kreativ bruk av diverse hjelpemidler for å komme videre,4
91,Det er i det hele tatt ikke langt mellom gåsehudøyeblikkene i dette spillet,4
92,Twilight Princess er så bra at jeg får gåsehud bare av å tenke på det en svært sjelden begivenhet for en som spiller såpass mye som meg,4
93,Wii håndkontrolleren er dessuten utnyttet på en eksemplarisk måte,4
94,Etter en tilvenningsperiode på rundt en halvtime føles det både selvfølgelig og naturlig,2
95,Nintendos nye spillkonsoll kunne i det hele tatt ikke ha bedt om noe bedre lanseringsspill selv om Gamecube eiere muligens ikke vil gå glipp av mye dersom de går for Gamecube versjonen 15 desember,4
96,For det er nok spillet i seg selv og ikke Wii håndkontrolleren som gjør The Legend of Zelda,3
97,Twilight Princess til et av tidenes beste konsollspill,4
98,Dette er en utrolig følelse jublet kaptein Philipp Lahm etter sin første VM triumf i karrieren,2
99,Da innlegget kom svarte Bayern München spilleren med en scoring på ekte goalgettervis,3
100,22 åringen dempet ballen fantastisk elegant på brystet før han sendte av gårde en liggende volley i lengste hjørnet bak en fortumlet Argentina keeper Sergio Romero,3
101,Det som skjer etter kampen å ha denne festen med dette laget det er en drøm som går i oppfyllelse,2
102,Jeg vet nesten ikke hva jeg føler dette er helt sensasjonelt sa Götze,2
103,Det har ikke vært et enkelt år for meg og ikke en enkel turnering,1
104,Jeg har fortsatt trent med laget og hver eneste spiller fortjener å bli nevnt,3
105,Måten vi scorer målet på beskriver dette laget sier Thomas Müller Tysklands toppscorer i mesterskapet med fem mål,3
106,Nå hylles de nybakte VM vinnerne av tidligere tyske helter,4
107,De er våre verdige etterfølgere sier Andreas Brehme til den tyske avisen Bild,3
108,Jeg er trist for at vi ikke klarte å vinne turneringen men jeg er veldig stolt over laget som utførte en strålende kamp,3
109,Vi hadde spilt to ekstraomganger og vi hadde en dag mindre hvile,3
110,Tyskland har hatt et fantastisk mesterskap og de fleste så på Die Mannschaft som den store favoritten til VM gullet etter den vanvittige 7 1 seieren over Brasil i semifinalen,4
111,Ekspertene i VGs VM studio mente perlemålet var en av tidenes vakreste scoringer som har avgjort et VM,2
112,Han legger den perfekt til rette med kassa og smeller den i lengste hjørne sier talentspeider Stig Thorbjørnsen,3
113,En åpen kamp sånn man ønsker at en slik stor finale skal være,3
